node_count,repetitions,cell_count,conflict_cell_count,cell_count_range,cell_count_cv,makespan_distance_m,total_distance_m,mean_runtime_s,runtime_std_s
1,5,109,0,0,0.0,128.43528660738193,128.43528660738193,0.04755818000412546,0.01781585264409963
2,5,109,9,1,0.009174311926605505,69.31461904236427,138.39000090840403,0.04622262000339106,0.0032073286289376075
3,5,109,15,6,0.0686542639775035,54.29521497478534,142.85785057013763,0.06078084001201205,0.0028849415160147546
4,5,109,15,2,0.030427750370233025,37.723225167056036,134.25090029606466,0.05411325999884866,0.0019280409511760483
